question,optiona,optionb,optionc,optiond,correct_option
"1.Which planet is known as the Red Planet?",Mars,Mercury,Venus,Neptune,a
"2.What is the capital of France?",Madrid,Rome,Berlin,Paris,d
"3.Who painted the Mona Lisa?",Pablo Picasso,Vincent van Gogh,Leonardo da Vinci,Michelangelo,c
"4.Who is the current Prime Minister of India?",Narendra Modi,Rahul Gandhi,Amit Shah,Manmohan Singh,a
"5.Which city is known as the "Pink City" of India?",Jaipur,Delhi,Mumbai,Kolkata,a
"6.Which river is known as the "Ganga of the South"?",Godavari,Kaveri,Yamuna,Brahmaputra,b
"7.Which state is known as the "Land of the Gods"?",Uttarakhand,Himachal Pradesh,Jammu and Kashmir,Rajasthan,a
"8.Who is known as the "Father of the Indian Constitution"?",Mahatma Gandhi,Jawaharlal Nehru,B.R. Ambedkar,Vallabhbhai Patel,c
"9.Which city is home to the iconic monument Taj Mahal?",Agra,Jaipur,Varanasi,Delhi,a
"10.Which state is the largest producer of rice in India?",West Bengal,Punjab,Andhra Pradesh,Uttar Pradesh,d
"11.Who is the current President of India?",Ram Nath Kovind,Narendra Modi,Droupadi Murmu,Amit Shah,c
"12.Which city is known as the "Silicon Valley of India"?",Hyderabad,Bengaluru,Pune,Gurugram,b
"13.Which Indian state has the highest literacy rate?",Kerala,Tamil Nadu,Maharashtra,Rajasthan,a
"14.Which is the national animal of India?",Lion,Leopard,Elephant,Tiger,d
"15.Who is the current Chief Minister of Maharashtra?",Eknath Shinde,Uddhav Thackeray,Ashok Gehlot,Arvind Kejriwal,a
"16.Which state is famous for the celebration of Navratri with Garba dance?",Gujarat,Rajasthan,Madhya Pradesh,Odisha,a
"17.Which is the highest civilian award in India?",Padma Vibhushan,Padma Bhushan,Padma Shri,Bharat Ratna,d
"18.Which city is known as the "City of Joy"?",Mumbai,Kolkata,Chennai,Bengaluru,b
"19.Which state is home to the famous hill station "Darjeeling"?",West Bengal,Uttarakhand,Himachal Pradesh,Assam,a
"20.Who is the current Chief Minister of Delhi?",Manohar Lal Khattar,Yogi Adityanath,Arvind Kejriwal,Amarinder Singh,c
"21.Which state is famous for the celebration of Pongal festival?",Tamil Nadu,Karnataka,Andhra Pradesh,Kerala,a
"22.Which is the national flower of India?",Rose,Lotus,Sunflower,Tulip,b
"23.Who is the first Indian woman to win an Olympic silver medal?",Mary Kom,Sakshi Malik,Saina Nehwal,P.V. Sindhu,d
